year,men_less_than_hs,men_high_school,men_some_college,men_bachelors_degree,men_advanced_degree,women_less_than_hs,women_high_school,women_some_college,women_bachelors_degree,women_advanced_degree,average_hourly_earnings_for_men,average_hourly_earnings_for_women,men_less_than_hs_relative_salary,men_high_school_relative_salary,men_some_college_relative_salary,men_bachelors_degree_relative_salary,men_advanced_degree_relative_salary,women_less_than_hs_relative_salary,women_high_school_relative_salary,women_some_college_relative_salary,women_bachelors_degree_relative_salary,women_advanced_degree_relative_salary
1973,21.18,26.9,27.67,37.69,40.09,12.89,16.97,18.41,25.5,32.73,30.706,21.3,0.6897674721552791,0.8760502833322478,0.9011268156060706,1.227447404416075,1.3056080244903276,0.6051643192488263,0.7967136150234742,0.8643192488262911,1.1971830985915493,1.5366197183098589
1974,20.63,26.15,26.79,36.62,41.03,12.87,16.49,17.91,24.7,30.78,30.244,20.55,0.6821187673588149,0.8646343076312657,0.8857955296918397,1.2108186747784684,1.3566327205396111,0.6262773722627737,0.8024330900243308,0.8715328467153285,1.2019464720194646,1.4978102189781022
1975,20.0,26.02,26.93,36.21,40.86,12.91,16.54,17.91,24.44,32.14,30.003999999999998,20.788,0.6665777896280496,0.8672177043060926,0.8975469937341688,1.2068390881215838,1.3618184242101055,0.621031364248605,0.7956513373099865,0.8615547431210313,1.1756782759284203,1.546084279391957
1976,20.36,26.14,27.1,36.42,40.31,12.96,17.01,18.37,24.52,31.05,30.065999999999995,20.782,0.6771768775360874,0.8694206079957428,0.9013503625357548,1.2113350628617046,1.3407170890707114,0.6236165912809162,0.8184967760562025,0.8839380232893851,1.179867192762968,1.4940814166105283
1977,20.43,25.97,26.7,36.09,40.56,13.08,16.71,17.92,23.88,30.33,29.95,20.384,0.6821368948247079,0.8671118530884808,0.8914858096828047,1.2050083472454092,1.3542570951585977,0.6416797488226059,0.8197605965463108,0.8791208791208792,1.1715070643642072,1.4879317111459966
1978,20.1,25.97,27.14,35.92,40.89,13.02,16.84,18.17,23.65,30.0,30.004,20.336000000000002,0.6699106785761899,0.8655512598320223,0.9045460605252633,1.197173710171977,1.3628182908945474,0.6402439024390243,0.8280881195908733,0.8934893784421715,1.1629622344610542,1.4752163650668764
1979,20.74,26.04,27.18,35.72,39.52,13.54,16.94,18.25,23.26,28.83,29.840000000000003,20.164,0.6950402144772116,0.8726541554959785,0.9108579088471849,1.1970509383378014,1.324396782841823,0.6714937512398332,0.8401110890696291,0.9050783574687561,1.1535409640944256,1.4297758381273555
1980,20.08,25.18,26.63,35.16,39.0,13.22,16.54,18.12,22.96,28.47,29.21,19.862000000000002,0.6874358096542279,0.8620335501540568,0.9116740842177335,1.2036973639164668,1.3351591920575145,0.6655925888631558,0.8327459470345382,0.9122948343570637,1.1559762360285972,1.4333903937166446
1981,19.64,24.84,26.24,35.41,38.72,13.12,16.46,18.13,22.94,28.51,28.97,19.832,0.6779426993441492,0.8574387297204005,0.9057645840524681,1.222298929927511,1.3365550569554712,0.6615570794675272,0.8299717628075837,0.9141791044776119,1.1567164179104479,1.4375756353368294
1982,19.34,24.64,26.22,35.8,39.95,12.82,16.63,18.26,23.57,28.81,29.189999999999998,20.018,0.6625556697499144,0.8441247002398082,0.8982528263103803,1.2264474134977732,1.3686193902021242,0.6404236187431311,0.8307523229093815,0.9121790388650215,1.177440303726646,1.4392047157558197
